question_id,video_file_path,set,qtype,question,generated_answer,actual_answer,kg_hint_used,judge_score
17717,clip_047.mp4,Set_33,Atr,Is the most noticeable building in the frame on the far right side?,"No, the most noticeable building in the frame is not on the far right side.",The most noticeable building appears on the far right side of the frame.,True,0
17718,clip_048.mp4,Set_33,Atr,Can you determine what colour is the tall building on the right side of the street ?,The tall building on the right side of the street is beige in color.,a light concrete-colored exterior.,True,1
17731,clip_049.mp4,Set_33,Atr,Does a vertical beige structure occupy the upper-right portion of the image?,Yes,A beige vertical structure occupies the upper-right part of the image.,True,1
17743,clip_050.mp4,Set_33,Atr,Can you determine what colour is the tall building on the right side of the street ?,The tall building on the right side of the street is beige in color.,a neutral-colored exterior surface.,True,1
17745,clip_050.mp4,Set_33,Atr,What painted symbol is visible on the central lane nearest the camera?,The painted symbol visible on the central lane nearest the camera is a crosswalk.,The crossing is highlighted by a boxed junction marking that discourages vehicles from stopping over the rails.,True,0
17748,clip_051.mp4,Set_33,Atr,What road marking is visible on the central lane near the camera?,The road marking visible on the central lane near the camera is a white marking.,A boxed road marking surrounds the rail crossing to keep vehicles clear when a train approaches.,True,0
17754,clip_051.mp4,Set_33,Atr,Does the right background contain a taller structure than the nearby surroundings?,Yes,The right background contains a structure taller than nearby surroundings.,True,1
17761,clip_052.mp4,Set_33,Atr,Can you determine what colour is the tall building on the right side of the street ?,The tall building on the right side of the street is beige in color.,a muted concrete-toned structure.,True,1
17765,clip_052.mp4,Set_33,Atr,What road marking is painted on the central lane close to the camera position?,The road marking painted on the central lane close to the camera position is white marking., A boxed road marking is painted on the central lane close to the camera position.,True,0
17769,clip_053.mp4,Set_33,Atr,Is the background building on the right farther away than the passing vehicles?,Yes,The building on the right is farther away than the passing vehicles.,True,1
17771,clip_053.mp4,Set_33,Atr,What lane marking is visible on the central lane near the camera?,The lane marking visible on the central lane near the camera is a solid white line.,The roadway shows a boxed keep-clear marking around the rails for crossing safety.,True,0
17779,clip_054.mp4,Set_33,Atr,What painted marking is visible on the central lane near the camera?,The painted marking visible on the central lane near the camera is a crosswalk.,The train tracks are enclosed by a keep-clear box so drivers avoid stopping on the crossing.,True,0
17787,clip_054.mp4,Set_33,Atr,Can you determine what colour is the tall building on the right side of the street ?,The tall building on the right side of the street is beige in color.,a subdued concrete-colored facade.,True,1
17790,clip_055.mp4,Set_33,Atr,Is the rightmost background building visibly taller than the cars and lane markings?,Yes,The rightmost background building is visibly taller than the cars and lane markings.,True,1
17795,clip_055.mp4,Set_33,Atr,What painted symbol is visible on the central lane near the camera?,The painted symbol visible on the central lane near the camera is a solid white line.,The crossing is highlighted by a boxed junction marking that discourages vehicles from stopping over the rails.,True,0
17803,clip_056.mp4,Set_33,Atr,What road marking is visible on the central lane at the front of the frame?,The road marking visible on the central lane at the front of the frame is a white marking.,The rail crossing area is boxed off so cars do not occupy the tracks when trains pass.,True,0
17811,clip_057.mp4,Set_33,Atr,What pavement marking is visible on the central lane at the front of the frame?,The pavement marking visible on the central lane at the front of the frame is a white marking.,The roadway shows a boxed keep-clear marking around the rails for crossing safety.,True,0
17812,clip_057.mp4,Set_33,Atr,Does the far-right portion of the frame contain a tall beige building?,Yes,The far-right portion of the frame contains a tall beige building.,True,1
17818,clip_058.mp4,Set_33,Atr,What lane marking is visible on the central lane at the front of the frame?,The lane marking visible on the central lane at the front of the frame is a solid white line.,The lighting suggests the scene takes place during the day.,True,1
17825,clip_058.mp4,Set_33,Atr,Can you determine what colour is the tall building on the right side of the street ?,The tall building on the right side of the street is beige in color.,a pale gray-toned structure.,True,0
17834,clip_059.mp4,Set_33,Atr,Is the large background structure anchored to the right side of the scene?,"No, the large background structure is not anchored to the right side of the scene.",The large background structure is anchored on the right side of the scene.,True,0
17836,clip_059.mp4,Set_33,Atr,What painted marking is visible on the central lane at the front of the frame?,The painted marking visible on the central lane at the front of the frame is a white marking.,A painted box around the tracks indicates the area should remain clear for train movement.,True,0
17845,clip_060.mp4,Set_33,Atr,What painted symbol is visible on the central lane at the front of the frame?,The painted symbol visible on the central lane at the front of the frame is a crosswalk.,The crossing is highlighted by a boxed junction marking that discourages vehicles from stopping over the rails.,True,0
17846,clip_060.mp4,Set_33,Atr,Can you determine what colour is the tall building on the right side of the street ?,The tall building on the right side of the street is beige in color.,a light-toned urban building.,True,1
17854,clip_061.mp4,Set_33,Atr,What road marking is visible on the central lane in the near end of the view?,The road marking visible on the central lane in the near end of the view is white marking.,A rectangular keep-clear marking surrounds the tracks to keep the crossing unobstructed.,True,0
17857,clip_061.mp4,Set_33,Atr,"At 00:02, is the tall building still visible above the road on the right?","Yes, the tall building is still visible above the road on the right at 00:02.",The tall building remains visible above the roadway on the right at that time.,True,1
17866,clip_062.mp4,Set_33,Atr,What pavement marking is visible on the central lane in the near end of the view?,The pavement marking visible on the central lane in the near end of the view is a white marking.,A painted box around the tracks indicates the area should remain clear for train movement.,True,0
17869,clip_063.mp4,Set_33,Atr,Does the back-right area show a fixed building rising above smaller elements?,"No, the back-right area shows a fixed building rising above other buildings.",The back-right area shows a fixed building rising above smaller elements.,True,0
17877,clip_063.mp4,Set_33,Atr,What lane marking is visible on the central lane in the near end of the view?,The lane marking visible on the central lane in the near end of the view is a solid white line.,The tracks are surrounded by a marked keep-clear zone to help avoid blocking the crossing.,True,1
17879,clip_064.mp4,Set_33,Atr,What painted marking is visible on the central lane in the near end of the view?,The painted marking visible on the central lane in the near end of the view is a white marking.,A boxed pavement marking appears in the near section of the central lane.,True,0
17894,clip_065.mp4,Set_33,Atr,What painted symbol is visible on the central lane in the near end of the view?,The painted symbol visible on the central lane in the near end of the view is a crosswalk.,A rectangular keep-clear marking surrounds the tracks to keep the crossing unobstructed.,True,0
17895,clip_065.mp4,Set_33,Atr,Is the right-side building farther back than the intersection and moving traffic?,Yes,The right-side building sits farther back than the intersection and moving vehicles.,True,1
17903,clip_066.mp4,Set_33,Atr,What road marking is visible on the central lane closest part of the shot?,The road marking visible on the central lane closest to the camera is white marking.,The rail crossing area is boxed off so cars do not occupy the tracks when trains pass.,True,0
17912,clip_067.mp4,Set_33,Atr,What pavement marking is visible on the central lane closest part of the shot?,The pavement marking visible on the central lane closest to the camera is a white marking.,A safety box is painted around the tracks to prevent vehicles from waiting in that zone.,True,0
17917,clip_067.mp4,Set_33,Atr,"At 00:03, can the tall structure on the right still be identified clearly?","Yes, the tall structure on the right can still be identified clearly at 00:03.",The tall structure on the right is still clearly identifiable then.,True,1
17918,clip_068.mp4,Set_33,Atr,"Can you determine in this clip, what distinguishing feature does the right lane have?",The right lane has a white marking.,The right lane is used by vehicles moving away from the camera.,True,0
17920,clip_068.mp4,Set_33,Atr,Can you determine what colour is the tall building on the right side of the street ?,The tall building on the right side of the street is beige in color.,a light stone-colored building.,True,1
17928,clip_069.mp4,Set_33,Atr,Does the scene place a tall building in the right background rather than the center?,"No, the tall building is in the center of the background.",A tall building is placed in the right background rather than the center.,True,0
17937,clip_069.mp4,Set_33,Atr,What lane marking is visible on the central lane closest part of the shot?,The lane marking visible on the central lane closest to the camera is a white marking.,The lighting conditions appear bright and clear.,True,1
17946,clip_070.mp4,Set_33,Atr,What painted marking is visible on the central lane closest part of the shot?,The painted marking visible on the central lane closest part of the shot is a white marking.,A painted box around the tracks indicates the area should remain clear for train movement.,True,0
17948,clip_071.mp4,Set_33,Atr,Is a beige multi-story structure visible to the right of the roadway?,Yes,A beige multi-story structure is visible to the right of the roadway.,True,1
17957,clip_071.mp4,Set_33,Atr,What painted symbol is visible on the central lane closest part of the shot?,The painted symbol visible on the central lane closest part of the shot is a crosswalk.,The tracks are surrounded by a marked keep-clear zone to help avoid blocking the crossing.,True,1
17962,clip_073.mp4,Set_33,Atr,What road marking is visible on the middle lane closest to the camera?,The road marking visible on the middle lane closest to the camera is white marking.,A safety box is painted around the tracks to prevent vehicles from waiting in that zone.,True,0
17969,clip_074.mp4,Set_33,Atr,"Can you determine in this clip, where are the train tracks located relative to the camera?",The train tracks are located on the left side of the image and are parallel to the road.,The tracks cross the road a short distance ahead of the camera.,False,0
17970,clip_074.mp4,Set_33,Atr,What pavement marking is visible on the middle lane closest to the camera?,The pavement marking visible on the middle lane closest to the camera is a white marking.,"A marked box outlines the rail crossing, signaling cars not to block the tracks.",True,0
17976,clip_074.mp4,Set_33,Atr,"At 00:02, does the building on the right remain visible behind the street?",Yes,The building on the right remains visible behind the street at that point.,True,1
17985,clip_075.mp4,Set_33,Atr,What lane marking is visible on the middle lane closest to the camera?,The lane marking visible on the middle lane closest to the camera is a white marking.,The crossing is highlighted by a boxed junction marking that discourages vehicles from stopping over the rails.,True,0
17987,clip_075.mp4,Set_33,Atr,Can you determine what suggests the building is not a residence?,"The building has multiple floors and is surrounded by other buildings, suggesting it is not a residence but an office or commercial building.",The building’s size and design suggest it is used for commercial purposes.,True,1
17988,clip_076.mp4,Set_33,Atr,What painted marking is visible on the middle lane closest to the camera?,The painted marking visible on the middle lane closest to the camera is a white marking.,The scene is brightly lit with natural light.,True,1
17995,clip_076.mp4,Set_33,Atr,Does the far-right background include the tallest built structure in the frame?,"No, the far-right background does not include the tallest built structure in the frame.",The far-right background includes the tallest built structure in the frame.,True,0
15699,clip_000.mp4,Set_34,Atr,Can you name the paint marking is located on the center lane at the bottom of the view?,The paint marking located on the center lane at the bottom of the view is a white marking.,A white boxed keep-clear marking surrounds the train tracks there.,True,1
15700,clip_000.mp4,Set_34,Atr,What color is the tower on the right side?,The tower on the right side is olive-gray.,It appears taupe.,True,0
15709,clip_001.mp4,Set_34,Atr,Can you name the painted graphic is on the road's center closest to the camera?,The painted graphic on the road's center closest to the camera is a crosswalk.,The area around the tracks is marked with a white keep-clear box.,True,0
15710,clip_001.mp4,Set_34,Atr,What colour is the large structure on the right hand side?,The large structure on the right hand side is olive-gray.,The building looks taupe in colour.,True,1
15719,clip_002.mp4,Set_34,Atr,Identify the painted shape is on the road's center in the foreground?,The painted shape on the road's center in the foreground is a cross.,A white box-style crossing marking is painted around the tracks.,True,0
15720,clip_002.mp4,Set_34,Atr,What hue does the large structure on the right side?,The large structure on the right side has an olive-gray hue.,It has a stone-colored appearance.,True,1
15729,clip_003.mp4,Set_34,Atr,Identify the shape is located on the road's center near the camera?,The shape is a diamond.,The tracks are enclosed by a white keep-clear road marking.,True,1
15730,clip_003.mp4,Set_34,Atr,What is the color of does the edifice situated on the right?,The edifice situated on the right is olive-gray.,The structure appears greige.,True,1
15739,clip_004.mp4,Set_34,Atr,Describe the road marking is located in the middle of the road at the bottom of the view?,The road marking is located in the middle of the road at the bottom of the view and it is white marking.,A white boxed marking is painted around the rail crossing area.,True,1
15740,clip_004.mp4,Set_34,Atr,What colour is the tall structure on the right side?,The tall structure on the right side is olive-gray.,It looks concrete-toned.,True,1
15749,clip_005.mp4,Set_34,Atr,Can you name the symbol is located in the middle of the road at the bottom of the view?,The symbol is a crosswalk.,The crossing zone is outlined by a white box marking around the tracks.,True,1
15750,clip_005.mp4,Set_34,Atr,What hue does the building located on the right?,The building located on the right has an olive-gray hue.,The visible colour is a muted beige.,True,1
15759,clip_006.mp4,Set_34,Atr,Can you name the painted marking is in the middle of the road close to us?,The painted marking in the middle of the road close to us is a white marking.,A white keep-clear box is painted where the train tracks cross the road.,True,0
15760,clip_006.mp4,Set_34,Atr,What color is the tall structure located on the right?,The tall structure located on the right is olive-gray.,It has a warm gray tone.,True,1
15769,clip_007.mp4,Set_34,Atr,What visible shape is in the middle of the road closest to the camera?,The visible shape in the middle of the road closest to the camera is a crosswalk.,The road shows a boxed white crossing marking around the tracks.,True,0
15770,clip_007.mp4,Set_34,Atr,What is the color of appears to be the edifice on the right?,The edifice on the right is olive-gray.,The building appears cool beige.,True,0
15779,clip_008.mp4,Set_34,Atr,Describe the white shape is in the central lane at the bottom of the view?,The white shape is a crosswalk.,A white painted box surrounds the track area to keep it clear.,True,0
15780,clip_008.mp4,Set_34,Atr,What colour is the tall building situated on the right?,The tall building situated on the right is olive-gray.,It looks like a sandy taupe shade.,True,0
15789,clip_009.mp4,Set_34,Atr,Can you name the large symbol is on the center lane closest to the camera?,The large symbol in the center lane closest to the camera is a white marking.,The track crossing is marked by a white boxed keep-clear symbol.,True,0
15790,clip_009.mp4,Set_34,Atr,What colour appears to be the high-rise situated on the right?,The high-rise situated on the right is olive-gray.,The structure has a dusty beige tone.,True,0
